Motor Name,Kv,Max Watts,Max RPM,Poles,Idle Current,Resistance,Weight,Length Metric,Diameter Metric,Shaft Diameter,Length*Diam,Length*Diam^2,Length*Diam*Kv,Length*Diam^2*Kv,x var,,6,31,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A60-5S V4 28 pole,295,2700,7000,28,1.7,15,595,65,60,8,3900,234000,1150500,69030000,2.20984E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-7S V4 28 pole,215,3400,7000,28,1.7,15,595,65,60,8,3900,234000,838500,50310000,3.40253E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-7S V2 28 pole,215,2100,7000,28,1.2,26,595,65,60,8,3900,234000,838500,50310000,2.67406E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-8S V4 28 pole,188,2800,7000,28,1.7,15,595,65,60,8,3900,234000,733200,43992000,3.5312E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-20S V2 28 Pole,245,1900,7000,28,1.7,27,595,60,60,8,3600,216000,882000,52920000,2.95378E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-22S V2 28 pole,217,1900,7000,28,1.5,30,595,60,60,8,3600,216000,781200,46872000,3.33492E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-24S V2 28 pole,195,1900,7000,28,1.3,38,595,60,60,8,3600,216000,702000,42120000,3.71117E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-16M V4 14 pole,215,3400,7000,14,1.7,15,750,75.2,60,8,4512,270720,970080,58204800,2.04285E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-16 M,215,2200,7000,12,1.9,22,760,70,59,8,4130,243670,887950,52389050,2.18386E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-18M V4 14 pole,190,3200,7000,14,1,29,750,75.2,60,8,4512,270720,857280,51436800,2.24262E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-18 M,190,2200,7000,12,1.8,27,760,70,59,8,4130,243670,784700,46297300,2.47122E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A60-20 M,170,2200,7000,12,1.7,32,760,70,59,8,4130,243670,702100,41423900,2.76195E-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
